population size, 35
world simulation time, 50
world size, 25 by 25

gen, mean, max, min, fitness one agent worlds, fitness description, nn description
0, 1.143, 20.000, 0.000, False, only perfect match fitness - this agent facing an opposite team agent facing this agent, know team and has recurrent nodes
1, 3.429, 20.000, 0.000, False, only perfect match fitness - this agent facing an opposite team agent facing this agent, know team and has recurrent nodes
2, 3.429, 20.000, 0.000, False, only perfect match fitness - this agent facing an opposite team agent facing this agent, know team and has recurrent nodes
3, 3.429, 20.000, 0.000, False, only perfect match fitness - this agent facing an opposite team agent facing this agent, know team and has recurrent nodes
4, 2.286, 20.000, 0.000, False, only perfect match fitness - this agent facing an opposite team agent facing this agent, know team and has recurrent nodes
5, 1.143, 20.000, 0.000, False, only perfect match fitness - this agent facing an opposite team agent facing this agent, know team and has recurrent nodes
6, 2.286, 20.000, 0.000, False, only perfect match fitness - this agent facing an opposite team agent facing this agent, know team and has recurrent nodes
7, 3.429, 20.000, 0.000, False, only perfect match fitness - this agent facing an opposite team agent facing this agent, know team and has recurrent nodes
8, 1.143, 20.000, 0.000, False, only perfect match fitness - this agent facing an opposite team agent facing this agent, know team and has recurrent nodes
9, 3.429, 20.000, 0.000, False, only perfect match fitness - this agent facing an opposite team agent facing this agent, know team and has recurrent nodes
10, 1.143, 20.000, 0.000, False, only perfect match fitness - this agent facing an opposite team agent facing this agent, know team and has recurrent nodes
11, 1.143, 20.000, 0.000, False, only perfect match fitness - this agent facing an opposite team agent facing this agent, know team and has recurrent nodes
12, 3.429, 20.000, 0.000, False, only perfect match fitness - this agent facing an opposite team agent facing this agent, know team and has recurrent nodes
13, 0.000, 0.000, 0.000, False, only perfect match fitness - this agent facing an opposite team agent facing this agent, know team and has recurrent nodes
14, 2.286, 20.000, 0.000, False, only perfect match fitness - this agent facing an opposite team agent facing this agent, know team and has recurrent nodes
15, 3.429, 20.000, 0.000, False, only perfect match fitness - this agent facing an opposite team agent facing this agent, know team and has recurrent nodes
16, 2.286, 20.000, 0.000, False, only perfect match fitness - this agent facing an opposite team agent facing this agent, know team and has recurrent nodes
17, 2.286, 20.000, 0.000, False, only perfect match fitness - this agent facing an opposite team agent facing this agent, know team and has recurrent nodes
18, 3.429, 20.000, 0.000, False, only perfect match fitness - this agent facing an opposite team agent facing this agent, know team and has recurrent nodes
19, 2.286, 20.000, 0.000, False, only perfect match fitness - this agent facing an opposite team agent facing this agent, know team and has recurrent nodes
