population size, 35
world simulation time, 50
world size, 25 by 25

gen, mean, max, min, fitness one agent worlds, fitness description, nn description
0, 0.588, 6.857, 0.000, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, know team and has recurrent nodes
1, 1.894, 8.000, 0.000, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, know team and has recurrent nodes
2, 4.049, 12.571, 0.000, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, know team and has recurrent nodes
3, 3.429, 10.286, 0.000, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, know team and has recurrent nodes
4, 5.486, 9.143, 0.000, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, know team and has recurrent nodes
5, 5.943, 11.429, 2.286, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, know team and has recurrent nodes
6, 6.139, 10.286, 1.143, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, know team and has recurrent nodes
7, 6.596, 10.286, 3.429, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, know team and has recurrent nodes
8, 5.355, 10.286, 1.143, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, know team and has recurrent nodes
9, 5.192, 9.143, 0.000, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, know team and has recurrent nodes
10, 6.367, 10.286, 2.286, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, know team and has recurrent nodes
11, 6.269, 11.429, 2.286, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, know team and has recurrent nodes
12, 6.400, 11.429, 2.286, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, know team and has recurrent nodes
13, 6.400, 10.286, 2.286, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, know team and has recurrent nodes
14, 6.465, 11.429, 2.286, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, know team and has recurrent nodes
15, 6.204, 9.143, 3.429, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, know team and has recurrent nodes
16, 6.563, 10.286, 3.429, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, know team and has recurrent nodes
17, 6.400, 10.286, 2.286, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, know team and has recurrent nodes
18, 6.335, 11.429, 1.143, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, know team and has recurrent nodes
19, 6.988, 11.429, 3.429, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, know team and has recurrent nodes
