population size, 35
world simulation time, 50
world size, 25 by 25

gen, mean, max, min, fitness one agent worlds, fitness description, nn description
0, 0.490, 5.714, 0.000, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits & 3 hidden layers CONTROL (communication does not work). NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
1, 1.273, 12.571, 0.000, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits & 3 hidden layers CONTROL (communication does not work). NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
2, 2.188, 6.857, 0.000, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits & 3 hidden layers CONTROL (communication does not work). NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
3, 2.743, 9.143, 0.000, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits & 3 hidden layers CONTROL (communication does not work). NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
4, 4.147, 10.286, 0.000, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits & 3 hidden layers CONTROL (communication does not work). NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
5, 5.322, 10.286, 0.000, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits & 3 hidden layers CONTROL (communication does not work). NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
6, 6.237, 10.286, 2.286, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits & 3 hidden layers CONTROL (communication does not work). NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
7, 6.041, 10.286, 2.286, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits & 3 hidden layers CONTROL (communication does not work). NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
8, 6.269, 9.143, 2.286, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits & 3 hidden layers CONTROL (communication does not work). NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
9, 4.800, 12.571, 0.000, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits & 3 hidden layers CONTROL (communication does not work). NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
10, 5.878, 10.286, 2.286, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits & 3 hidden layers CONTROL (communication does not work). NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
11, 6.139, 10.286, 2.286, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits & 3 hidden layers CONTROL (communication does not work). NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
12, 6.041, 10.286, 1.143, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits & 3 hidden layers CONTROL (communication does not work). NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
13, 5.878, 11.429, 1.143, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits & 3 hidden layers CONTROL (communication does not work). NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
14, 6.204, 9.143, 2.286, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits & 3 hidden layers CONTROL (communication does not work). NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
15, 6.237, 11.429, 3.429, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits & 3 hidden layers CONTROL (communication does not work). NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
16, 6.237, 12.571, 2.286, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits & 3 hidden layers CONTROL (communication does not work). NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
17, 5.747, 9.143, 2.286, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits & 3 hidden layers CONTROL (communication does not work). NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
18, 5.420, 9.143, 0.000, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits & 3 hidden layers CONTROL (communication does not work). NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
19, 6.073, 9.143, 2.286, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits & 3 hidden layers CONTROL (communication does not work). NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
20, 5.453, 10.286, 0.000, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits & 3 hidden layers CONTROL (communication does not work). NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
21, 4.996, 10.286, 0.000, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits & 3 hidden layers CONTROL (communication does not work). NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
22, 5.780, 11.429, 2.286, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits & 3 hidden layers CONTROL (communication does not work). NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
23, 5.747, 10.286, 1.143, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits & 3 hidden layers CONTROL (communication does not work). NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
24, 5.747, 9.143, 2.286, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits & 3 hidden layers CONTROL (communication does not work). NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
25, 5.192, 9.143, 1.143, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits & 3 hidden layers CONTROL (communication does not work). NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
26, 6.204, 10.286, 1.143, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits & 3 hidden layers CONTROL (communication does not work). NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
27, 6.073, 11.429, 2.286, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits & 3 hidden layers CONTROL (communication does not work). NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
28, 6.400, 10.286, 2.286, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits & 3 hidden layers CONTROL (communication does not work). NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
29, 4.833, 8.000, 0.000, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits & 3 hidden layers CONTROL (communication does not work). NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
30, 6.367, 12.571, 2.286, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits & 3 hidden layers CONTROL (communication does not work). NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
31, 6.335, 10.286, 1.143, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits & 3 hidden layers CONTROL (communication does not work). NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
32, 5.976, 10.286, 2.286, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits & 3 hidden layers CONTROL (communication does not work). NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
33, 6.400, 10.286, 1.143, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits & 3 hidden layers CONTROL (communication does not work). NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
34, 6.563, 10.286, 3.429, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits & 3 hidden layers CONTROL (communication does not work). NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
35, 6.041, 9.143, 3.429, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits & 3 hidden layers CONTROL (communication does not work). NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
36, 6.498, 10.286, 2.286, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits & 3 hidden layers CONTROL (communication does not work). NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
37, 5.616, 10.286, 0.000, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits & 3 hidden layers CONTROL (communication does not work). NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
38, 5.714, 10.286, 2.286, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits & 3 hidden layers CONTROL (communication does not work). NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
39, 5.714, 10.286, 2.286, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits & 3 hidden layers CONTROL (communication does not work). NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
40, 5.518, 9.143, 2.286, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits & 3 hidden layers CONTROL (communication does not work). NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
41, 6.661, 12.571, 3.429, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits & 3 hidden layers CONTROL (communication does not work). NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
42, 6.073, 9.143, 2.286, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits & 3 hidden layers CONTROL (communication does not work). NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
43, 6.269, 12.571, 1.143, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits & 3 hidden layers CONTROL (communication does not work). NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
44, 5.943, 9.143, 3.429, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits & 3 hidden layers CONTROL (communication does not work). NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
