population size, 35
world simulation time, 50
world size, 25 by 25

gen, mean, max, min, fitness one agent worlds, fitness description, nn description
0, 0.098, 1.143, 0.000, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits. NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
1, 0.098, 3.429, 0.000, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits. NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
2, 0.294, 4.571, 0.000, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits. NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
3, 0.588, 3.429, 0.000, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits. NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
4, 1.208, 4.571, 0.000, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits. NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
5, 0.653, 2.286, 0.000, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits. NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
6, 1.143, 3.429, 0.000, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits. NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
7, 0.947, 3.429, 0.000, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits. NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
8, 1.339, 5.714, 0.000, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits. NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
9, 1.241, 3.429, 0.000, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits. NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
10, 1.306, 4.571, 0.000, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits. NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
11, 1.567, 4.571, 0.000, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits. NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
12, 1.600, 5.714, 0.000, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits. NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
13, 2.743, 8.000, 0.000, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits. NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
14, 3.820, 8.000, 1.143, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits. NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
15, 3.918, 8.000, 1.143, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits. NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
16, 3.527, 6.857, 0.000, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits. NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
17, 4.278, 8.000, 1.143, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits. NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
18, 3.265, 9.143, 0.000, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits. NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
19, 3.494, 6.857, 0.000, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits. NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
20, 3.788, 6.857, 1.143, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits. NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
21, 3.200, 5.714, 0.000, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits. NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
22, 3.559, 9.143, 1.143, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits. NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
23, 3.396, 8.000, 0.000, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits. NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
24, 3.527, 8.000, 0.000, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits. NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
25, 3.559, 6.857, 0.000, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits. NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
26, 4.278, 9.143, 1.143, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits. NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
27, 3.624, 9.143, 0.000, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits. NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
28, 3.624, 6.857, 0.000, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits. NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
29, 3.233, 6.857, 1.143, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits. NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
30, 3.624, 8.000, 1.143, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits. NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
31, 3.722, 5.714, 1.143, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits. NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
32, 3.592, 6.857, 0.000, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits. NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
33, 3.918, 8.000, 0.000, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits. NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
34, 4.082, 6.857, 1.143, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits. NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
35, 3.592, 6.857, 1.143, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits. NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
36, 3.494, 6.857, 0.000, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits. NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
37, 3.429, 8.000, 0.000, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits. NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
38, 3.461, 9.143, 0.000, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits. NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
39, 3.167, 6.857, 0.000, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits. NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
40, 3.429, 6.857, 0.000, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits. NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
41, 3.788, 6.857, 1.143, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits. NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
42, 3.559, 9.143, 0.000, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits. NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
43, 3.853, 6.857, 1.143, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits. NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
44, 2.906, 8.000, 0.000, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits. NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
45, 3.200, 5.714, 0.000, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits. NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
46, 3.135, 8.000, 0.000, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits. NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
47, 3.657, 6.857, 1.143, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits. NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
48, 3.820, 11.429, 0.000, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits. NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
