population size, 100
one population size, 13
world simulation time, 35
world size, 20 by 20

gen, mean, max, min, comms, fitness one agent worlds, fitness description, nn description
0, 2.319, 10.000, 0.000, 2816, True, points for facing an adjacent opposite team agent. most points for a match, Control - random kernel init
1, 3.208, 12.308, 0.385, 6728, True, points for facing an adjacent opposite team agent. most points for a match, Control - random kernel init
2, 3.192, 12.692, 0.000, 8230, True, points for facing an adjacent opposite team agent. most points for a match, Control - random kernel init
3, 3.327, 12.308, 0.385, 8300, True, points for facing an adjacent opposite team agent. most points for a match, Control - random kernel init
4, 4.004, 15.769, 0.385, 9078, True, points for facing an adjacent opposite team agent. most points for a match, Control - random kernel init
5, 4.396, 16.154, 0.385, 11480, True, points for facing an adjacent opposite team agent. most points for a match, Control - random kernel init
6, 6.485, 18.462, 0.000, 16328, True, points for facing an adjacent opposite team agent. most points for a match, Control - random kernel init
7, 7.135, 15.769, 0.385, 16744, True, points for facing an adjacent opposite team agent. most points for a match, Control - random kernel init
8, 9.396, 18.462, 0.000, 21408, True, points for facing an adjacent opposite team agent. most points for a match, Control - random kernel init
9, 9.419, 15.769, 0.769, 21646, True, points for facing an adjacent opposite team agent. most points for a match, Control - random kernel init
10, 10.442, 18.462, 1.154, 24194, True, points for facing an adjacent opposite team agent. most points for a match, Control - random kernel init
11, 10.612, 18.462, 3.077, 25040, True, points for facing an adjacent opposite team agent. most points for a match, Control - random kernel init
12, 9.612, 15.769, 1.154, 23010, True, points for facing an adjacent opposite team agent. most points for a match, Control - random kernel init
13, 10.065, 18.462, 0.000, 23930, True, points for facing an adjacent opposite team agent. most points for a match, Control - random kernel init
14, 10.650, 18.462, 3.077, 25162, True, points for facing an adjacent opposite team agent. most points for a match, Control - random kernel init
15, 9.627, 15.769, 0.000, 22626, True, points for facing an adjacent opposite team agent. most points for a match, Control - random kernel init
16, 10.427, 18.462, 3.077, 24466, True, points for facing an adjacent opposite team agent. most points for a match, Control - random kernel init
17, 10.977, 16.154, 3.077, 24884, True, points for facing an adjacent opposite team agent. most points for a match, Control - random kernel init
18, 10.173, 16.154, 3.077, 24908, True, points for facing an adjacent opposite team agent. most points for a match, Control - random kernel init
19, 10.831, 18.846, 3.077, 25146, True, points for facing an adjacent opposite team agent. most points for a match, Control - random kernel init
20, 10.827, 18.462, 6.154, 25650, True, points for facing an adjacent opposite team agent. most points for a match, Control - random kernel init
21, 10.546, 18.462, 3.077, 25070, True, points for facing an adjacent opposite team agent. most points for a match, Control - random kernel init
22, 10.496, 18.462, 3.077, 24774, True, points for facing an adjacent opposite team agent. most points for a match, Control - random kernel init
23, 9.881, 16.154, 3.077, 24796, True, points for facing an adjacent opposite team agent. most points for a match, Control - random kernel init
24, 10.365, 18.462, 3.077, 24950, True, points for facing an adjacent opposite team agent. most points for a match, Control - random kernel init
25, 9.419, 15.769, 1.154, 22798, True, points for facing an adjacent opposite team agent. most points for a match, Control - random kernel init
26, 10.119, 16.154, 1.154, 23446, True, points for facing an adjacent opposite team agent. most points for a match, Control - random kernel init
