population size, 20
one population size, 12
world simulation time, 35
world size, 20 by 20

gen, mean, max, min, comms, fitness one agent worlds, fitness description, nn description
0, 0.674, 2.500, 0.278, 1274, True, points for facing an adjacent opposite team agent. most points for a match, Control - random kernel init
1, 0.986, 2.361, 0.139, 2978, True, points for facing an adjacent opposite team agent. most points for a match, Control - random kernel init
2, 0.903, 2.500, 0.139, 3412, True, points for facing an adjacent opposite team agent. most points for a match, Control - random kernel init
3, 1.021, 2.361, 0.139, 3872, True, points for facing an adjacent opposite team agent. most points for a match, Control - random kernel init
4, 1.167, 2.917, 0.139, 4018, True, points for facing an adjacent opposite team agent. most points for a match, Control - random kernel init
5, 1.486, 3.889, 0.417, 6000, True, points for facing an adjacent opposite team agent. most points for a match, Control - random kernel init
6, 1.403, 2.500, 0.278, 5950, True, points for facing an adjacent opposite team agent. most points for a match, Control - random kernel init
7, 1.375, 2.639, 0.417, 5832, True, points for facing an adjacent opposite team agent. most points for a match, Control - random kernel init
8, 1.347, 3.611, 0.139, 5954, True, points for facing an adjacent opposite team agent. most points for a match, Control - random kernel init
9, 1.472, 3.056, 0.278, 5828, True, points for facing an adjacent opposite team agent. most points for a match, Control - random kernel init
10, 0.882, 1.806, 0.139, 5572, True, points for facing an adjacent opposite team agent. most points for a match, Control - random kernel init
11, 1.611, 3.611, 0.139, 5984, True, points for facing an adjacent opposite team agent. most points for a match, Control - random kernel init
12, 1.667, 3.056, 0.417, 6026, True, points for facing an adjacent opposite team agent. most points for a match, Control - random kernel init
13, 1.715, 4.444, 0.278, 6008, True, points for facing an adjacent opposite team agent. most points for a match, Control - random kernel init
14, 1.500, 3.750, 0.278, 6016, True, points for facing an adjacent opposite team agent. most points for a match, Control - random kernel init
15, 1.604, 3.611, 0.278, 5934, True, points for facing an adjacent opposite team agent. most points for a match, Control - random kernel init
16, 1.424, 4.028, 0.139, 5958, True, points for facing an adjacent opposite team agent. most points for a match, Control - random kernel init
17, 1.604, 3.472, 0.278, 6350, True, points for facing an adjacent opposite team agent. most points for a match, Control - random kernel init
18, 1.528, 2.639, 0.556, 5800, True, points for facing an adjacent opposite team agent. most points for a match, Control - random kernel init
19, 1.667, 2.917, 0.000, 5988, True, points for facing an adjacent opposite team agent. most points for a match, Control - random kernel init
20, 1.646, 3.750, 0.278, 5990, True, points for facing an adjacent opposite team agent. most points for a match, Control - random kernel init
21, 1.451, 2.639, 0.417, 5866, True, points for facing an adjacent opposite team agent. most points for a match, Control - random kernel init
22, 1.660, 2.778, 0.278, 5976, True, points for facing an adjacent opposite team agent. most points for a match, Control - random kernel init
23, 1.660, 3.611, 0.278, 6026, True, points for facing an adjacent opposite team agent. most points for a match, Control - random kernel init
24, 1.431, 3.750, 0.417, 6158, True, points for facing an adjacent opposite team agent. most points for a match, Control - random kernel init
